100.59,1.5611,2608.9,616.36,-20.549
107.04,1.5629,7592.6,336.74,-15.422
102.25,1.5682,686.26,629.39,-21.457
114.87,1.5686,3205.9,621.62,-20.099
106.41,1.5611,7535.8,331.99,-15.44
114.33,1.565,12654,609.06,-14.203
110.86,1.5623,2545.3,671.81,-22.12
108.71,1.5699,11117,556.72,-14.544
108.1,1.5634,10520,535.37,-14.681
110.58,1.5692,1000.1,746.65,-22.482
100.08,1.5628,7588.4,343.76,-15.417
111.74,1.5694,14585,676.68,-13.924
113.9,1.562,2130.5,655.99,-23.343
100.12,1.5681,11277,563.87,-14.507
112.37,1.5603,9758.8,499.68,-14.862
111.51,1.5669,9115.7,461.57,-15.016
114.96,1.5661,7730,346.28,-15.382
103.41,1.564,8733.9,438.09,-15.109
113.79,1.5623,6684.3,253.73,-15.785
109.63,1.5685,1605.5,714.91,-22.283
