108.43,1.5624,13026,621.63,-14.135
110.42,1.5689,1916.6,656.62,-22.243
106.4,1.5602,13667,646.16,-14.034
112.54,1.5692,2066.2,716.37,-22.623
110.97,1.5608,7996.5,371.47,-15.306
105.4,1.5672,2575.8,609.67,-20.675
106.81,1.5654,8610.9,425.75,-15.141
105.8,1.5623,566.4,756.28,-22.794
111.63,1.5661,11617,573.22,-14.43
111.01,1.5613,12806,615.44,-14.174
106.45,1.5672,13794,649.53,-14.017
110.41,1.5664,14811,680.51,-13.902
114.18,1.5606,7824.4,355.12,-15.355
111.76,1.5606,4435.6,502.66,-17.547
110.58,1.5616,1960.9,720.37,-23.175
101.64,1.5602,7863.8,363.9,-15.339
105.85,1.5647,8991.3,453.78,-15.046
108.86,1.5689,11562,571.54,-14.443
106.89,1.5666,1703,710.19,-22.206
100.76,1.5656,10093,520.94,-14.781
