101.6,1.5691,11814,580.82,-14.385
114.43,1.5667,6151.2,213.72,-16.072
100.07,1.5638,4004.5,418.4,-17.565
111.62,1.5655,6356.7,226.44,-15.95
112.26,1.5643,1898.6,658.33,-23.202
113.03,1.5608,2413.6,662.97,-22.952
101.27,1.5626,14160,660.4,-13.982
106,1.5613,14364,667.34,-13.952
103.9,1.562,8840.5,444.57,-15.083
112,1.5626,1366.8,749.63,-22.838
106.47,1.5645,3904.3,529.64,-18.032
113.66,1.5605,5620.8,226.89,-16.422
102.73,1.5697,12407,600.77,-14.252
103.96,1.5701,723.35,641.64,-20.56
102.18,1.5653,1123.8,739.19,-22.236
102.04,1.5652,2950.4,562.79,-19.45
113.04,1.5636,9912.2,507.7,-14.825
108.7,1.5696,11110,556.46,-14.546
108.25,1.564,9892.3,506.79,-14.83
102.17,1.5612,7038.4,298.34,-15.617
